12/02/2019,03:49:56,
S=ADXL355 C=53 F=125.00
-418.8800,-16531.1367,-342.0160
-422.5280,-16526.9121,-297.9840
-425.1520,-16511.2969,-235.2640
-436.2240,-16500.8633,-206.7840
-439.2960,-16507.7129,-226.1120
-441.0880,-16534.0156,-287.5520
-449.8560,-16555.7129,-364.3520
-458.9440,-16548.3516,-454.9760
-462.0160,-16531.3281,-518.5280
-461.5680,-16519.8086,-504.8960
-445.6960,-16517.6328,-421.3760
-416.4480,-16500.8008,-339.3280
-411.2000,-16490.4961,-249.4720
-400.7040,-16504.1914,-167.3600
-407.8080,-16516.6719,-94.1440
-438.5920,-16505.9199,-69.6960
-436.4800,-16515.8398,-161.2800
-436.3520,-16538.8809,-312.0000
-438.3360,-16553.0234,-499.1360
-452.6080,-16547.4551,-617.1520
-461.7600,-16534.9766,-648.5760
-468.4160,-16532.7363,-583.6800
-463.0400,-16522.4961,-423.8080
-449.0880,-16513.7285,-271.3600
-449.0880,-16478.2070,-112.0000
-388.6080,-16487.0391,-51.0080
-358.7200,-16508.9277,-44.2880
-405.0560,-16502.5918,-62.6560
-451.3920,-16500.2246,-203.9040
-440.7680,-16550.8477,-429.5040
-451.2640,-16566.2070,-588.5440
-459.2640,-16554.8809,-658.9440
-452.3520,-16527.4883,-618.3040
-447.5520,-16510.0801,-465.6000
-440.2560,-16505.3438,-307.0720
-431.8080,-16505.0879,-201.6000
-437.3120,-16505.9199,-107.9680
-418.2400,-16537.0879,-108.6720
-461.5680,-16503.1035,-106.6240
-454.8480,-16509.6953,-206.8480
-446.5280,-16512.7676,-337.6640
-430.3360,-16507.3281,-475.7760
-419.6480,-16527.4238,-551.8080
-401.9840,-16545.6641,-550.9120
-403.7120,-16548.9277,-470.7200
-413.5040,-16538.8809,-354.8800
-439.4240,-16505.7285,-230.0160
-458.2400,-16499.0078,-138.0480
-452.6720,-16527.2324,-123.9040
-456.0000,-16528.0645,-178.9440
-478.2080,-16505.2793,-255.1680
-470.7840,-16499.3281,-385.5360
-452.7360,-16504.0000,-505.9840
-425.6000,-16533.1191,-546.0480
-395.2640,-16550.2070,-504.3200
-402.2400,-16538.1113,-421.6320
-420.8000,-16531.8398,-298.1120
-433.0240,-16508.6074,-162.6240
-445.4400,-16485.5039,-64.0640
-433.9200,-16497.1523,-58.6880
-431.2320,-16501.6328,-170.1120
-426.2400,-16538.2402,-364.6720
-434.4320,-16569.0879,-543.1680
-456.5120,-16549.9512,-642.1120
-474.8160,-16531.0723,-597.5040
-482.0480,-16512.0000,-447.8720
-470.7840,-16494.3359,-289.2160
-451.8400,-16478.9121,-162.2400
-378.6880,-16499.9688,-128.5760
-337.9840,-16541.2480,-149.3120
-394.9440,-16538.3672,-129.1520
-468.7360,-16505.7285,-205.5040
-454.3360,-16536.0645,-397.2480
-460.6720,-16532.8633,-530.1120
-456.5760,-16517.7598,-570.3040
-446.3360,-16516.9277,-512.0640
-425.7920,-16514.3672,-377.0880
-424.9600,-16536.3848,-278.4640
-429.2480,-16546.1758,-234.6880
-442.8800,-16528.7031,-236.4800
-453.5680,-16504.1289,-238.6560
-461.3760,-16488.1289,-227.1360
-444.8640,-16488.4473,-243.9040
-425.2160,-16513.8555,-300.9280
-414.0800,-16534.0156,-369.9200
-410.8800,-16546.1113,-422.2080
-414.7200,-16553.0234,-441.7920
-434.6240,-16540.4805,-419.2640
-453.6320,-16521.8555,-380.6720
-456.3840,-16507.1992,-333.3760
-451.3280,-16493.3770,-285.0560
-436.9920,-16498.3047,-250.4960
-431.6160,-16509.5684,-220.1600
-437.9520,-16532.0957,-238.0160
-441.2160,-16536.3203,-296.5120
-447.9360,-16522.1758,-341.8240
-445.7600,-16516.6719,-365.8880
-433.2160,-16510.5918,-372.1600
-416.5120,-16513.9199,-371.2000
-407.9360,-16531.8398,-366.0800
-419.3280,-16553.2168,-378.8160
-431.4240,-16542.7207,-380.0960
-450.2400,-16522.1758,-342.9120
-460.7360,-16500.5449,-274.1760
-460.1600,-16488.5762,-234.7520
-442.6240,-16485.6328,-236.0320
-424.8960,-16512.3848,-266.6880
-428.0960,-16533.1836,-299.0720
-432.0640,-16548.4160,-342.4000
-440.2560,-16536.1914,-380.5440
-445.3760,-16525.1836,-424.3200
-437.3760,-16522.8164,-446.9760
-430.8480,-16522.8164,-416.2560
-427.2640,-16520.0000,-337.2160
-427.9040,-16517.1836,-237.7600
-426.1120,-16510.7207,-192.6400
-431.2320,-16501.1836,-215.2320
-445.1840,-16512.5762,-274.3040
-455.9360,-16528.8965,-348.9920
-451.2640,-16533.7598,-410.7520
-441.6640,-16514.6230,-423.7440
-434.0480,-16507.1367,-395.4560
-431.6800,-16522.9434,-348.9280
-429.9520,-16524.6719,-310.2080
-432.3200,-16523.1992,-273.0880
-439.1040,-16525.6328,-252.9920
-436.2240,-16522.6230,-272.0640
-427.3920,-16517.8887,-315.0080
-423.8720,-16516.0957,-347.7760
-433.1520,-16526.7832,-376.3200
-439.7440,-16534.8477,-406.6560
-445.6320,-16524.4805,-384.6400
-446.7840,-16511.4238,-315.0720
-450.1760,-16511.4238,-263.3600
-442.7520,-16511.1680,-258.5600
-408.7040,-16527.5527,-298.6240
-437.4400,-16515.6484,-308.8000
-442.1760,-16521.0879,-337.8560
-448.7040,-16515.5840,-347.9040
-444.9280,-16513.3438,-338.3040
-434.3680,-16517.7598,-316.0960
-424.2560,-16529.0234,-326.0160
-423.2320,-16544.8965,-343.9360
-431.5520,-16540.3516,-333.3760
-430.6560,-16526.0801,-332.5440
-432.4480,-16518.9766,-367.2320
-434.8800,-16514.1113,-382.1440
-443.8400,-16508.0957,-351.6800
-452.9280,-16499.4551,-305.7920
-454.4640,-16494.2070,-249.1520
-445.5040,-16509.2480,-207.8720
-439.2320,-16532.6719,-221.5680
-432.1920,-16540.2871,-293.1840
-425.0880,-16534.2070,-373.5040
-428.2240,-16527.1035,-435.5200
-426.6240,-16526.7207,-463.7440
-421.8880,-16525.5684,-451.0720
-435.1360,-16526.5918,-402.4960
-443.2640,-16517.8242,-313.6000
-444.0960,-16507.8398,-205.4400
-438.9760,-16501.8242,-142.0800
-443.5840,-16509.3770,-162.3680
-441.6640,-16523.0078,-238.0800
-437.6320,-16533.6953,-360.6400
-438.7840,-16528.2559,-463.8720
-434.8160,-16520.6406,-505.0240
-433.9840,-16527.8086,-480.5760
-435.5840,-16521.4727,-396.8640
-438.7840,-16516.9277,-288.3200
-444.3520,-16511.1035,-207.6800
-415.4240,-16529.0234,-209.9200
-411.7760,-16519.6797,-181.9520
-452.1600,-16506.1113,-206.9760
-447.2960,-16519.1680,-354.1120
-438.5920,-16539.7754,-460.1600
-438.7200,-16537.5996,-509.6320
-441.8560,-16514.3672,-463.4240
-440.2560,-16495.9355,-350.2720
-430.0160,-16512.1914,-254.7840
-429.1840,-16534.9766,-209.9840
-439.6160,-16535.7441,-216.1920
-447.2320,-16517.6328,-263.4880
-447.0400,-16502.3359,-329.0880
-432.7680,-16508.6074,-370.3040
-429.3120,-16521.9199,-386.8800
-432.5760,-16530.1758,-371.9040
-440.9600,-16534.8477,-344.8320
-438.2080,-16540.8008,-344.0640
-424.7040,-16531.7129,-343.9360
-422.2720,-16514.1758,-327.4880
-429.1200,-16498.4961,-321.5360
-440.4480,-16500.7363,-324.8640
-452.4160,-16515.5195,-303.1040
-454.8480,-16526.0801,-271.1680
-446.6560,-16532.1602,-265.0240
-429.5680,-16525.2480,-284.9920
-427.0080,-16521.7930,-323.2000
12/02/2019,03:50:01,
S=ADXL355 C=53 F=125.00
-437.8880,-16527.4883,-391.6160
-433.9200,-16527.4238,-371.0080
-436.0320,-16518.8477,-330.5600
-435.3920,-16510.7207,-306.2400
-438.6560,-16515.9043,-280.8320
-437.6320,-16519.1680,-271.8080
